Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
soloLTR_As:44	12.7083633565896	6.88890949559233	soloLTR	rnd-5_family-2061	no_RT	Other	As	2.61384182187607	0	4.96282866927423	4.08973868808731	soloLTR	-0.352615303232872
LTR_As:47	0.94822406963944	4.25459984555347	LTR	rnd-4_family-356	no_RT	Other	As	2.83122969386706	1	0.641009220098059	2.68625322558842	LTR	-0.135227431241878
soloLTR_As:66	6.34201893588515	2.20116594206077	soloLTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	1.86332286012046	0	6.46549661174048	4.98435718058823	soloLTR	-1.10313426498849
int_As:104	2.67199904763337	0.469677650828573	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.97451169273733	0	1.56023806695154	-0.704582135175926	int	0.00805456762838741
soloLTR_As:116	0.71864210862936	2.50816860666036	soloLTR	rnd-4_family-2256	N0.HOG0000003_OG0000003_n0	C	As	2.70500795933334	1	0.705828451691734	2.36824138873076	soloLTR	-0.261449165775605
int_As:125	152.464445183447	96.1983643036421	int	rnd-5_family-7461	no_RT	Other	As	3.58489634413745	0	5.31037753444752	4.64659058599268	int	0.618439219028509
int_As:165	338.397841082253	539.837016651013	int	rnd-4_family-915	N0.HOG0000009_OG0000005_n23	HC	As	3.62128016755041	1	6.33919334348875	7.01282332163969	int	0.654823042441474
LTR_As:172	0.763699867335073	3.9097112336479	LTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	2.51454775266029	1	1.41709382680781	3.61946485744789	LTR	-0.451909372448655
int_As:184	22.4740257446994	121.589907781745	int	rnd-1_family-218	no_RT	Other	As	3.61129836229643	1	2.46647438815166	4.89648428321513	int	0.644841237187488
int_As:215	12.3293559753934	30.5150570663259	int	rnd-5_family-7636	N0.HOG0000050_OG0000036_n0	C	As	2.9731278535997	1	3.72601149729957	5.02587247735368	int	0.00667072849075767
int_As:229	438.972408243307	841.457742563101	int	rnd-4_family-2256	N0.HOG0000003_OG0000003_n0	C	As	3.84978782423769	1	5.95541066124064	6.89399973132677	int	0.883330699128744
LTR_As:230	41.842194436366	180.071556840661	LTR	rnd-4_family-2256	N0.HOG0000003_OG0000003_n0	C	As	2.65991620006985	1	6.52038055093469	8.62303403646174	LTR	-0.306540925039091
LTR_As:299	2.22282387519907	0.428082805549542	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.30102999566398	0	3.54354245661964	1.42558176873977	LTR	-0.66542712944496
int_As:302	2.11726321236312	0.504422601116865	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.15533603746506	0	3.96059582471271	2.09822729356348	int	-0.811121087643879
LTR_As:304	36.3278413900121	17.7853686976842	LTR	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.62634036737504	0	6.42860208390237	5.40270591168974	LTR	-0.340116757733899
LTR_As:309	37.5348566975783	23.5513895366567	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.6570558528571	0	6.3735819213927	5.70363579360137	LTR	-0.309401272251837
LTR_As:314	41.7131217762949	25.8300777664714	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.6570558528571	0	6.52543529733274	5.8362901079264	LTR	-0.309401272251837
int_As:316	20.947896060933	6.70821035860363	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.12057393120585	0	7.31761747358987	5.69052717343534	int	-0.845883193903091
int_As:318	144.964411138248	58.5437557097236	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.76789761601809	0	7.95166751272647	6.64515527871362	int	-0.19855950909085
int_As:321	140.840130770922	53.4071544504315	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.81023251799508	0	7.76942556492045	6.37229716475338	int	-0.156224607113857
LTR_As:324	21.4177799803124	37.9923575478853	LTR	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.17897694729317	1	7.15544179432539	7.9791550046976	LTR	-0.787480177815772
LTR_As:380	0.731378206911453	7.87115361606807	LTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	2.32014628611105	1	2.00847840031476	5.25480676488244	LTR	-0.646310838997887
int_As:392	8.21640578057554	21.6756300204284	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.78175537465247	1	3.7825074812697	5.17024329595957	int	-0.184701750456472
int_As:394	2.18820576043422	21.3109606170528	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.6159500516564	1	2.47530626450887	5.69668214499041	int	-0.35050707345254
LTR_As:405	60.6659217644804	23.5162216222795	LTR	rnd-5_family-7032	no_RT	Other	As	2.6170003411209	0	7.19770267454502	5.83454426602359	LTR	-0.349456783988042
LTR_As:408	55.7678209805165	21.6926833400503	LTR	rnd-5_family-7032	no_RT	Other	As	2.32221929473392	0	8.05571720141243	6.69790239681914	LTR	-0.644237830375022
int_As:414	3.13224836590413	1.54654359523339	int	rnd-5_family-4668	N0.HOG0000027_OG0000016_n0	C	As	1.76342799356294	0	5.80440386298368	4.83540171409425	int	-1.203029131546
LTR_As:416	28.2092697216853	10.210646058527	LTR	rnd-5_family-4668	N0.HOG0000027_OG0000016_n0	C	As	2.39967372148104	0	6.81790181896364	5.36152930522764	LTR	-0.566783403627903
soloLTR_As:418	114.853560568443	57.7112962463081	soloLTR	rnd-5_family-7032	no_RT	Other	As	2.31175386105575	0	9.13132523809706	8.13981218089717	soloLTR	-0.654703264053187
soloLTR_As:420	78.6686360948955	45.0630061781747	soloLTR	rnd-4_family-770	N0.HOG0000174_OG0000160_-	LC	As	2.45024910831936	0	8.1259484487526	7.32358834769103	soloLTR	-0.51620801678958
soloLTR_As:422	14.6578476158774	7.48398658411008	soloLTR	rnd-5_family-2061	no_RT	Other	As	2.14612803567824	0	6.7207780991604	5.76123571124491	soloLTR	-0.820329089430703
int_As:441	1.18677929628395	4.72458684964016	int	rnd-1_family-943	no_RT	Other	As	2.30102999566398	1	2.69500200980355	4.59500768232758	int	-0.66542712944496
