adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	div	sFam	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:50	51.5607329362397	105.132616951874	soloLTR	rnd-5_family-2614	N0.HOG0000032_OG0000021_n0	C	As	220	8.8	LTR/Pao	234.366967891998	477.875531599425	soloLTR	nippostrongylus_brasiliensis	3.39655816044346
soloLTR_As:88	2.8121397176591	4.91574460464008	soloLTR	rnd-5_family-6054	N0.HOG0000016_OG0000008_n0	HC	As	289	4.2	LTR/Pao	9.73058725833599	17.0094969018688	soloLTR	nippostrongylus_brasiliensis	-1.41566436404883
soloLTR_As:90	6.31525705262443	3.79984489913205	soloLTR	rnd-4_family-5176	N0.HOG0000009_OG0000005_n23	HC	As	158	23.7	LTR/Gypsy	39.9699813457242	24.0496512603294	soloLTR	nippostrongylus_brasiliensis	-0.915988860505439
soloLTR_As:92	103.688378843853	153.002684810012	soloLTR	rnd-4_family-693452	N0.HOG0000027_OG0000016_n0	C	As	575	16.6	LTR/Pao	180.327615380615	266.091625756542	soloLTR	nippostrongylus_brasiliensis	2.55184636811467
soloLTR_As:110	17.4349791183076	41.2681886749727	soloLTR	rnd-1_family-673	N0.HOG0000125_OG0000111_n0	LC	As	278	8.3	LTR/Pao	62.715752224128	148.44672185242	soloLTR	nippostrongylus_brasiliensis	1.70986849515157
soloLTR_As:114	1.17213548842978	2.25679499878457	soloLTR	rnd-4_family-1484	N0.HOG0000027_OG0000016_n0	C	As	333	13.7	LTR/Pao	3.51992639168103	6.77716215851222	soloLTR	nippostrongylus_brasiliensis	-2.74325163776084
soloLTR_As:120	0.467208354069335	5.12395547419506	soloLTR	rnd-5_family-2953	N0.HOG0000032_OG0000021_n0	C	As	212	7.7	LTR/Pao	2.20381299089309	24.1696012933729	soloLTR	nippostrongylus_brasiliensis	-0.908811160080079
soloLTR_As:130	3.02848763069645	1.24985900127514	soloLTR	rnd-5_family-445	N0.HOG0000070_OG0000056_n0	C	As	196	14.5	LTR/Gypsy	15.4514675035533	6.3768316391589	soloLTR	nippostrongylus_brasiliensis	-2.83109313755179
soloLTR_As:164	1.8812212280848	1.40787881911005	soloLTR	rnd-1_family-673	N0.HOG0000125_OG0000111_n0	LC	As	185	15.5	LTR/Pao	10.168763395053	7.61015577897325	soloLTR	nippostrongylus_brasiliensis	-2.5760069434533
soloLTR_As:172	2.34219918015132	1.82776227144306	soloLTR	rnd-5_family-6222	N0.HOG0000010_OG0000006_n0	HC	As	235	4.2	LTR/Pao	9.9668050219205	7.77771179337472	soloLTR	nippostrongylus_brasiliensis	-2.54458715323241
soloLTR_As:196	55.1326907936062	25.8954112354034	soloLTR	rnd-1_family-668	no_RT	Other	As	384	26	LTR/Gypsy	143.574715608349	67.4359667588631	soloLTR	nippostrongylus_brasiliensis	0.571513419104535
soloLTR_As:204	13.8377701036272	7.35578702824959	soloLTR	rnd-4_family-1484	N0.HOG0000027_OG0000016_n0	C	As	323	11.5	LTR/Pao	42.8413935096818	22.7733344527851	soloLTR	nippostrongylus_brasiliensis	-0.994659289236206
soloLTR_As:206	3.96566151087454	6.19744638631479	soloLTR	rnd-4_family-1484	N0.HOG0000027_OG0000016_n0	C	As	275	12.5	LTR/Pao	14.420587312271	22.5361686775083	soloLTR	nippostrongylus_brasiliensis	-1.00976256731847
soloLTR_As:208	327.552533233989	205.263189528972	soloLTR	rnd-4_family-379	N0.HOG0000016_OG0000008_n0	HC	As	1032	16.8	LTR/Pao	317.395865536811	198.898439466058	soloLTR	nippostrongylus_brasiliensis	2.13195521749558
soloLTR_As:210	2.34219918015132	1.26689555967916	soloLTR	rnd-1_family-371	no_RT	Other	As	363	12.6	LTR/Pao	6.45233933925983	3.49007041233928	soloLTR	nippostrongylus_brasiliensis	-3.70067678610756
soloLTR_As:218	7.37008575632285	2.99870473171419	soloLTR	rnd-1_family-673	N0.HOG0000125_OG0000111_n0	LC	As	256	8.1	LTR/Pao	28.7893974856361	11.7136903582586	soloLTR	nippostrongylus_brasiliensis	-1.95380917078008
soloLTR_As:220	6.3984785281147	4.35830105146045	soloLTR	rnd-5_family-871	no_RT	Other	As	212	8.5	LTR/Pao	30.1815024911071	20.5580238276436	soloLTR	nippostrongylus_brasiliensis	-1.14230324452273
