adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	sFam	div	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:196	6.21909124306587	8.15952416614054	soloLTR	rnd-1_family-215	no_RT	Other	As	149	LTR/Pao	19	41.7388674031267	54.7619071553056	soloLTR	ancylostoma_ceylanicum	0.258118135736943
soloLTR_As:386	3.34291471723881	5.38694425480394	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	132	LTR/Pao	12.1	25.3251114942334	40.8101837485147	soloLTR	ancylostoma_ceylanicum	-0.16612534911402
soloLTR_As:452	55.3910918495238	143.677149667862	soloLTR	rnd-5_family-103-1	N0.HOG0000010_OG0000006_n0	HC	As	195	LTR/Pao	17.9	284.056881279609	736.805895732625	soloLTR	ancylostoma_ceylanicum	4.00815814495761
soloLTR_As:492	4.78698296556687	4.46293950665372	soloLTR	rnd-1_family-215	no_RT	Other	As	200	LTR/Pao	17.7	23.9349148278343	22.3146975332686	soloLTR	ancylostoma_ceylanicum	-1.03706030391002
soloLTR_As:542	0.957835399755346	0.154044082335592	soloLTR	rnd-4_family-407	no_RT	Other	As	166	LTR/Gypsy	14.1	5.77009276961052	0.927976399612001	soloLTR	ancylostoma_ceylanicum	-5.62482263020144
soloLTR_As:574	40.0126933340451	81.820579910469	soloLTR	rnd-5_family-103-1	N0.HOG0000010_OG0000006_n0	HC	As	988	LTR/Pao	17.8	40.4986774636084	82.8143521361022	soloLTR	ancylostoma_ceylanicum	0.854826260083559
soloLTR_As:798	191.018998434289	100.249488957075	soloLTR	rnd-5_family-184-1	no_RT	Other	As	235	LTR/Gypsy	20.7	812.846801848037	426.593570030107	soloLTR	ancylostoma_ceylanicum	3.21973575975848
soloLTR_As:870	1.91560977504849	2.31096099071902	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	354	LTR/Gypsy	17.3	5.41132704815958	6.52813839186164	soloLTR	ancylostoma_ceylanicum	-2.81031100863395
soloLTR_As:892	10.2776609971295	29.0851508757627	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	382	LTR/Gypsy	10.3	26.9048717202344	76.1391384182269	soloLTR	ancylostoma_ceylanicum	0.733583689138141
soloLTR_As:910	27.968955234713	23.1043082965099	soloLTR	rnd-5_family-440	N0.HOG0000016_OG0000008_n0	HC	As	464	LTR/Pao	19.8	60.2779207644676	49.7937678804093	soloLTR	ancylostoma_ceylanicum	0.120910632379981
soloLTR_As:998	20.3541830462824	33.4277809019548	soloLTR	rnd-5_family-6-1	no_RT	Other	As	454	LTR/Pao	23.1	44.8330023045869	73.6294733523233	soloLTR	ancylostoma_ceylanicum	0.685228826936495
soloLTR_As:1002	127.21488733623	156.137966047245	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	382	LTR/Gypsy	7.7	333.023265278088	408.73813101373	soloLTR	ancylostoma_ceylanicum	3.15805037747432
soloLTR_As:1130	2.39550299459466	1.5418356575709	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	348	LTR/Pao	13.9	6.88362929481225	4.43056223439913	soloLTR	ancylostoma_ceylanicum	-3.36949286325745
soloLTR_As:1158	7.41879422569738	11.8680720080016	soloLTR	rnd-4_family-126	N0.HOG0000003_OG0000003_n0	C	As	358	LTR/Gypsy	0	20.722888898596	33.151039128496	soloLTR	ancylostoma_ceylanicum	-0.466000462760553
soloLTR_As:1268	127.631771582066	594.192365558023	soloLTR	rnd-4_family-94	N0.HOG0000009_OG0000005_n23	HC	As	315	LTR/Gypsy	5.2	405.180227244655	1886.32497002547	soloLTR	ancylostoma_ceylanicum	5.36437987459865
