adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	div	sFam	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:6	9.45072666143633	7.96075570791304	soloLTR	rnd-5_family-6504	N0.HOG0000016_OG0000008_n0	HC	As	291	3.1	LTR/Pao	32.4767239224616	27.3565488244434	soloLTR	teladorsagia_circumcincta	0.740758317526242
soloLTR_As:8	6.48125905656241	6.75790823020976	soloLTR	rnd-4_family-395	N0.HOG0000010_OG0000006_n0	HC	As	628	23.3	LTR/Pao	10.3204762047172	10.7610003665761	soloLTR	teladorsagia_circumcincta	-0.605315720174371
soloLTR_As:10	0.282183279772307	0.653228346036167	soloLTR	rnd-4_family-4479	no_RT	Other	As	382	5.2	LTR/Pao	0.73869968526782	1.71002184826222	soloLTR	teladorsagia_circumcincta	-3.25904125737281
soloLTR_As:34	0.987451329624425	0.98007569075059	soloLTR	rnd-4_family-395	N0.HOG0000010_OG0000006_n0	HC	As	628	23	LTR/Pao	1.57237472870131	1.56063008081304	soloLTR	teladorsagia_circumcincta	-3.39092740231381
soloLTR_As:36	6.3509565235401	4.13674502483642	soloLTR	rnd-4_family-4479	no_RT	Other	As	877	12.9	LTR/Pao	7.24168360722931	4.71692705226502	soloLTR	teladorsagia_circumcincta	-1.79520872571562
soloLTR_As:62	99.1619465863138	125.391116899141	soloLTR	rnd-4_family-395	N0.HOG0000010_OG0000006_n0	HC	As	631	22.2	LTR/Pao	157.150470025854	198.718093342538	soloLTR	teladorsagia_circumcincta	3.60152341082611
soloLTR_As:103	0.845973640619163	2.96333224820137	soloLTR	rnd-5_family-2302	no_RT	Other	As	196	15.9	LTR/Gypsy	4.31619204397532	15.1190420826601	soloLTR	teladorsagia_circumcincta	-0.114761184751156
soloLTR_As:105	25.9317733418978	24.6829880278503	soloLTR	rnd-4_family-2631	no_RT	Other	As	414	19	LTR/Gypsy	62.6371336760817	59.620744028624	soloLTR	teladorsagia_circumcincta	1.86468645890032
soloLTR_As:119	2.2560812996577	2.26801558314401	soloLTR	rnd-1_family-489	N0.HOG0000010_OG0000006_n0	HC	As	293	16.7	LTR/Pao	7.69993617630615	7.74066751926284	soloLTR	teladorsagia_circumcincta	-1.08059803227382
soloLTR_As:123	1.55032264617271	0.953460815316563	soloLTR	rnd-1_family-489	N0.HOG0000010_OG0000006_n0	HC	As	310	20.2	LTR/Pao	5.00104079410551	3.07568004940827	soloLTR	teladorsagia_circumcincta	-2.41215058197844
soloLTR_As:131	160.224848410197	163.820106107528	soloLTR	rnd-3_family-702	N0.HOG0000010_OG0000006_n0	HC	As	1031	11.9	LTR/Pao	155.40722445218	158.89438031768	soloLTR	teladorsagia_circumcincta	3.2788682756431
soloLTR_As:197	0.704618707004223	0.518193378423644	soloLTR	rnd-4_family-2631	no_RT	Other	As	195	21	LTR/Gypsy	3.61342926668832	2.65740194063407	soloLTR	teladorsagia_circumcincta	-2.62303955871527
soloLTR_As:211	5.77692743101068	6.3753800074765	soloLTR	rnd-4_family-4129	N0.HOG0000016_OG0000008_n0	HC	As	314	20.3	LTR/Pao	18.3978580605436	20.3037579855939	soloLTR	teladorsagia_circumcincta	0.310618857473875
soloLTR_As:223	1.41127251386159	1.52058385530953	soloLTR	rnd-5_family-1507	N0.HOG0000010_OG0000006_n0	HC	As	881	5.5	LTR/Pao	1.60189842663064	1.72597486414249	soloLTR	teladorsagia_circumcincta	-3.24564456104062
soloLTR_As:225	0.704854293767419	1.1910960973669	soloLTR	rnd-4_family-2564	N0.HOG0000010_OG0000006_n0	HC	As	375	19.2	LTR/Pao	1.87961145004645	3.17625625964506	soloLTR	teladorsagia_circumcincta	-2.36572870184676
soloLTR_As:241	55.730327243972	96.7861791589159	soloLTR	rnd-5_family-7799	no_RT	Other	As	719	15.8	LTR/Gypsy	77.5108862920334	134.612210234932	soloLTR	teladorsagia_circumcincta	3.0396094524875
soloLTR_As:275	5.63542268131662	4.25764808509508	soloLTR	rnd-5_family-2900	N0.HOG0000027_OG0000016_n0	C	As	359	7	LTR/Pao	15.6975562153666	11.8597439696242	soloLTR	teladorsagia_circumcincta	-0.465055055400227
soloLTR_As:277	1.8327737734361	4.02475489033974	soloLTR	rnd-1_family-390	N0.HOG0000010_OG0000006_n0	HC	As	478	19.1	LTR/Pao	3.83425475614247	8.41998931033419	soloLTR	teladorsagia_circumcincta	-0.959237613629096
