Adult_IP	Secr_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Secr_IP_rpkm	sim_LTR	length_centred
int_As:24010	536.350009163849	3635.76201268672	int	rnd-5_family-1804	N0.HOG0000125_OG0000111_n0	LC	As	3.00432137378264	1	9.05299804989838	11.8137340273862	int	0.0443853287944909
int_As:16821	260.097377789887	628.101469497363	int_fl	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	2.26717172840301	1	10.4579758180153	11.7295319425483	int	-0.692764316585138
soloLTR_As:634	132.017952147158	916.954522009277	soloLTR	rnd-5_family-2347	N0.HOG0000016_OG0000008_n0	HC	As	2.49136169383427	1	8.73556056436124	11.5305547017971	soloLTR	-0.468574351153879
int_As:9068	392.371314584055	2180.66622462244	int	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	2.97726621242729	1	8.69203648258872	11.1661522981192	int	0.0173301674391411
LTR_As:40184	178.483072275533	1965.36608420638	LTR	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	2.99869515831166	1	7.48494747576466	10.9450046720986	LTR	0.0387591133235041
int_As:42244	186.426727756825	326.155677707646	int	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	2.30749603791321	1	9.84384124260384	10.6503957559842	int	-0.652440007074939
int_As:13796	4940.20492279642	13544.0793635902	int_fl	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	3.93308216236979	1	9.17075801639322	10.6257552968339	int	0.973146117381639
soloLTR_As:3766	397.934947130325	1520.26606235204	soloLTR	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	2.9982593384237	1	8.64260572621756	10.5760039954547	soloLTR	0.0383232934355471
int_As:16822	468.973093089089	885.288030614698	int_fl	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	2.79098847508882	1	9.56805130152485	10.4845195442325	int	-0.168947569899336
int_As:63160	725.576443825131	3608.98195377269	int	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	3.40517554621799	1	8.15725799413089	10.4714598048296	int	0.445239501229838
LTR_As:29890	7.70309819077494	115.591962739122	LTR	rnd-4_family-1290	N0.HOG0000026_OG0000015_n0	C	As	1.95904139232109	1	6.42562447368706	10.3123840841743	LTR	-1.00089465266706
int_As:5599	56.6614539405523	123.314868688978	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	1.99122607569249	1	9.17842300934677	10.2986813745836	int	-0.968709969295657
int_As:42248	2878.61985119039	6866.59086767689	int	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	3.75633176732106	1	8.97874160784818	10.2329234084693	int	0.796395722332906
int_As:10238	638.866251943643	1381.10722418119	int	rnd-5_family-458	N0.HOG0000026_OG0000015_n0	C	As	3.06707085604537	1	9.0968361384804	10.2089300465193	int	0.107134811057219
LTR_As:34433	49.9066230743541	396.489195901735	LTR	rnd-5_family-957	no_RT	Other	As	2.53147891704225	1	7.20101515163777	10.1879674084847	LTR	-0.428457127945897
int_As:37332	1026.79679233536	606.07969001724	int	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.72345567203519	0	10.9227635899285	10.1623093115244	int	-0.236480372952966
int_As:11189	165.261547898211	102.554857756523	int	rnd-4_family-1517	N0.HOG0000003_OG0000003_n0	C	As	1.99563519459755	0	10.7060813762719	10.0183669650422	int	-0.964300850390602
LTR_As:10721	137.922403483605	284.797098910304	LTR	rnd-5_family-3633	no_RT	Other	As	2.44404479591808	1	8.955810165153	10.0012412772549	LTR	-0.515891249070076
LTR_As:9731	3.72855174941321	98.0722853518137	LTR	rnd-1_family-937	N0.HOG0000032_OG0000021_n0	C	As	2.01703333929878	1	5.20947143870058	9.88288204435753	LTR	-0.942902705689372
int_As:24192	464.074720986878	863.161718021581	int	rnd-4_family-4857	N0.HOG0000003_OG0000003_n0	C	As	2.96425963019685	1	8.97731287560043	9.87241422006581	int	0.00432358520869736
int_As:21342	42.7483154251526	199.032177611837	int	rnd-5_family-2920	N0.HOG0000047_OG0000033_n0	C	As	2.32837960343874	1	7.65291768986637	9.86880206607151	int	-0.631556441549414
