Adult_IP	Secr_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Secr_IP_rpkm	sim_LTR	length_centred
LTR_As:6	0.555077266618721	7.27035824724748	LTR	rnd-5_family-120	N0.HOG0000176_OG0000162_-	LC	As	2.12710479836481	1	2.32134331484413	5.78413241438093	LTR	-0.858747646801041
LTR_As:47	0.819126239083278	4.13910883056809	LTR	rnd-4_family-356	no_RT	Other	As	2.83122969386706	1	0.460224674235061	2.64905432325257	LTR	-0.154622751298786
int_As:48	107.589180452387	232.567979338212	int	rnd-4_family-356	no_RT	Other	As	3.60552052343747	1	4.73941754625573	5.85071791405541	int	0.61966807827162
soloLTR_As:66	5.48378994972745	41.709454645373	soloLTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	1.86332286012046	1	6.26071488887422	9.16218826663903	soloLTR	-1.12252958504539
int_As:107	12.2448168746368	67.8192638531357	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	3.79225157190326	1	0.995609559023992	3.45423675373523	int	0.806399126737415
soloLTR_As:116	0.617328582912434	1.48733569679192	soloLTR	rnd-4_family-2256	N0.HOG0000003_OG0000003_n0	C	As	2.70500795933334	1	0.526316858252	1.65906083471214	soloLTR	-0.280844485832513
soloLTR_As:118	1.85638933567901	8.98713330226908	soloLTR	rnd-4_family-356	no_RT	Other	As	2.8208579894397	1	1.57331167050978	3.7811150334665	soloLTR	-0.164994455726149
LTR_As:124	38.4358362847267	172.82640879796	LTR	rnd-5_family-7461	no_RT	Other	As	2.95712819767681	1	5.41105656221054	7.57654544601992	LTR	-0.0287242474890359
int_As:125	131.65771175635	7.68601675414726	int	rnd-5_family-7461	no_RT	Other	As	3.58489634413745	0	5.09891005683988	1.02047602305566	int	0.599043898971601
LTR_As:126	61.8418367513062	275.590855657245	LTR	rnd-5_family-7461	no_RT	Other	As	2.95712819767681	1	6.0955781355951	8.24939604248686	LTR	-0.0287242474890359
LTR_As:138	3.8540956326277	1.73349158761974	LTR	rnd-5_family-3723	N0.HOG0000026_OG0000015_n0	C	As	2.65030752313194	0	3.15009451121335	2.04706464284994	LTR	-0.335544922033912
int_As:165	292.261218170825	14.0986619220796	int	rnd-4_family-915	N0.HOG0000009_OG0000005_n23	HC	As	3.62128016755041	0	6.12782744188345	1.76523008527879	int	0.635427722384566
LTR_As:171	0.861000115472868	2.67362887847916	LTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	2.3654879848909	1	2.06969828942608	3.58681620693529	LTR	-0.620364460274949
LTR_As:172	0.660804179268942	2.80160571296456	LTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	2.51454775266029	1	1.24484600215664	3.15644776945925	LTR	-0.471304692505563
soloLTR_As:178	20.8213697875806	55.7571544488988	soloLTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	2.98272338766855	1	4.44525122928565	5.8614156689776	soloLTR	-0.00312905749730374
int_As:184	19.4132256041921	34.7328673769334	int	rnd-1_family-218	no_RT	Other	As	3.61129836229643	1	2.25669290434744	3.09225928231113	int	0.62544591713058
int_As:215	10.6502740331013	1.78596469292859	int	rnd-5_family-7636	N0.HOG0000050_OG0000036_n0	C	As	2.9731278535997	0	3.51741124375837	1.01480043983882	int	-0.0127245915661502
LTR_As:299	1.91919852848957	4.72844221345118	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.30102999566398	1	3.34556886357842	4.59750197306332	LTR	-0.684822449501868
int_As:300	2.00503262704332	5.74713160854397	int	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.43933269383026	1	2.94577465815115	4.41365085114881	int	-0.546519751335586
LTR_As:304	31.3757897578683	59.0697914045416	LTR	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.62634036737504	1	6.21807007449098	7.12839072367593	LTR	-0.359512077790807
LTR_As:309	32.4253597217093	90.2601513286008	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.6570558528571	1	6.16333512495458	7.63706901577493	LTR	-0.328796592308745
int_As:311	39.076844843485	92.9856959509628	int	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.4456042032736	1	7.1340963710002	8.38236323508256	int	-0.540248241892252
LTR_As:314	36.0198828192716	82.1023774029164	LTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	2.6570558528571	1	6.31450600047904	7.50058343727112	LTR	-0.328796592308745
int_As:316	18.0964062527653	53.1356518569274	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.12057393120585	1	7.10805522438713	8.65607957574058	int	-0.865278513959999
int_As:318	125.235975483978	413.565394787693	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.76789761601809	1	7.74084139493672	9.46339539182401	int	-0.217954829147758
int_As:321	121.654716441097	432.061404757594	int	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.81023251799508	1	7.55838979707989	9.38586581997412	int	-0.175619927170765
LTR_As:322	37.5755980953905	127.32483699186	LTR	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.23552844690755	1	7.77560310706058	9.53317720742507	LTR	-0.7503239982583
LTR_As:324	18.5063998706183	88.4263881745406	LTR	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	2.17897694729317	1	6.94616095745376	9.19563935276246	LTR	-0.80687549787268
int_As:326	124.519594518607	485.358175035612	int	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.98181860717066	1	7.02194271757231	8.98364088959074	int	-0.00403383799518542
LTR_As:380	0.637262901570547	1.76294239592375	LTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	2.32014628611105	1	1.84623413734123	3.16617422089619	LTR	-0.665706159054795
int_As:394	1.87569609780441	3.67234073969273	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.6159500516564	1	2.2678051250042	3.19638955565922	int	-0.369902393509448
LTR_As:402	36.7703546981565	221.073350945051	LTR	rnd-5_family-3633	no_RT	Other	As	2.63346845557959	1	6.42250759236877	9.00671425365467	LTR	-0.352383989586262
LTR_As:405	52.4517574437704	255.301153363443	LTR	rnd-5_family-7032	no_RT	Other	As	2.6170003411209	1	6.98833721377201	9.26899562578187	LTR	-0.36885210404495
int_As:406	340.496091392312	2528.10555236732	int	rnd-5_family-7032	no_RT	Other	As	3.24104815067164	1	7.61123108392416	10.5031609217462	int	0.255195705505795
LTR_As:408	48.2296783327197	207.178122043865	LTR	rnd-5_family-7032	no_RT	Other	As	2.32221929473392	1	7.84678048910065	9.94705790972101	LTR	-0.66363315043193
int_As:414	2.70480682404381	11.681435873488	int	rnd-5_family-4668	N0.HOG0000027_OG0000016_n0	C	As	1.76342799356294	1	5.60272993886808	7.66794288828806	int	-1.22242445160291
LTR_As:416	24.4028229225707	141.281872791156	LTR	rnd-5_family-4668	N0.HOG0000027_OG0000016_n0	C	As	2.39967372148104	1	6.60991190881513	9.13783375703932	LTR	-0.586178723684811
soloLTR_As:418	99.2531700386953	738.196893618913	soloLTR	rnd-5_family-7032	no_RT	Other	As	2.31175386105575	1	8.9209962490354	11.8143879230271	soloLTR	-0.674098584110095
soloLTR_As:420	67.9800515098404	570.312974192411	soloLTR	rnd-4_family-770	N0.HOG0000174_OG0000160_-	LC	As	2.45024910831936	1	7.91568200050468	10.9821302557934	soloLTR	-0.535603336846488
