adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	sFam	div	rpkm_IP_polyP	rpkm_adult_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:36	47.9608250174485	39.5499065878967	soloLTR	rnd-5_family-2061	no_RT	Other	As	411	LTR/Gypsy	9.5	96.2284831822303	116.693004908634	soloLTR	heligmosomoides_bakeri	3.22375601926059
soloLTR_As:58	566.144439987846	455.598995499498	soloLTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	332	LTR/Gypsy	30.3	1372.28613102258	1705.25433731279	soloLTR	heligmosomoides_bakeri	7.05772954546078
soloLTR_As:108	2.39536108095447	1.92392043409326	soloLTR	rnd-4_family-2256	N0.HOG0000003_OG0000003_n0	C	As	507	LTR/Gypsy	9	3.79471486014451	4.72457806894373	soloLTR	heligmosomoides_bakeri	-1.44064458012341
soloLTR_As:110	11.2049406728456	8.1402837185858	soloLTR	rnd-4_family-356	no_RT	Other	As	662	LTR/Pao	7	12.296501085477	16.9258922550538	soloLTR	heligmosomoides_bakeri	0.255539892570448
soloLTR_As:133	31.4986755746941	36.0779749900496	soloLTR	rnd-5_family-2920	N0.HOG0000047_OG0000033_n0	C	As	411	LTR/Gypsy	9.8	87.7809610463495	76.6391133204236	soloLTR	heligmosomoides_bakeri	3.09120009629397
soloLTR_As:158	5.9278538956901	5.75526384038702	soloLTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	631	LTR/Pao	17.5	9.12086187066088	9.39438018334405	soloLTR	heligmosomoides_bakeri	-0.175465906358029
soloLTR_As:164	66.711889711442	84.6040358495493	soloLTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	961	LTR/Gypsy	4.6	88.0374982825695	69.4192400743413	soloLTR	heligmosomoides_bakeri	3.09541018052017
soloLTR_As:174	60.4780163420434	76.6828158248955	soloLTR	rnd-5_family-7461	no_RT	Other	As	208	LTR/Gypsy	21.9	368.667383773536	290.759693952132	soloLTR	heligmosomoides_bakeri	5.16153991191134
soloLTR_As:214	94.5117066834471	88.0253961034363	soloLTR	rnd-5_family-5512	N0.HOG0000003_OG0000003_n0	C	As	892	LTR/Gypsy	17.9	98.6831794881573	105.954828120456	soloLTR	heligmosomoides_bakeri	3.26009622984428
soloLTR_As:216	8.58875221488661	6.17424376340943	soloLTR	rnd-1_family-911	N0.HOG0000003_OG0000003_n0	C	As	371	LTR/Gypsy	10.4	16.6421664781925	23.1502755118238	soloLTR	heligmosomoides_bakeri	0.692135286877875
soloLTR_As:222	5.08547755180451	3.65600329920929	soloLTR	rnd-5_family-3652	N0.HOG0000047_OG0000033_n0	C	As	489	LTR/Gypsy	29	7.47648936443617	10.3997495946923	soloLTR	heligmosomoides_bakeri	-0.462275061830776
soloLTR_As:224	2.8861491340658	2.61779939741908	soloLTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	205	LTR/Pao	8.8	12.7697531581418	14.0787762637356	soloLTR	heligmosomoides_bakeri	0.310022668778801
soloLTR_As:264	129.680173005674	163.093229115341	soloLTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	504	LTR/Pao	14.9	323.597676816153	257.301930566814	soloLTR	heligmosomoides_bakeri	4.97342137629491
soloLTR_As:263	40.5924869334979	38.2638235783916	soloLTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	242	LTR/Pao	13.3	158.114973464428	167.737549311975	soloLTR	heligmosomoides_bakeri	3.94019412310812
soloLTR_As:266	4.46378044346293	5.44866961578933	soloLTR	rnd-5_family-458	N0.HOG0000026_OG0000015_n0	C	As	411	LTR/Gypsy	1.7	13.2571036880519	10.860779667793	soloLTR	heligmosomoides_bakeri	0.364057651802166
soloLTR_As:310	1.56467465317282	1.22222712047981	soloLTR	rnd-5_family-1216	N0.HOG0000016_OG0000008_n0	HC	As	515	LTR/Pao	17.2	2.37325654462098	3.03820321004431	soloLTR	heligmosomoides_bakeri	-2.11776800222404
soloLTR_As:386	200.500377776287	371.769383548189	soloLTR	rnd-5_family-7032	no_RT	Other	As	205	LTR/Pao	15.8	1813.50918803994	978.050623298962	soloLTR	heligmosomoides_bakeri	7.4599322754824
soloLTR_As:388	331.262403421753	255.883638567853	soloLTR	rnd-4_family-770	N0.HOG0000174_OG0000160_-	LC	As	282	LTR/Gypsy	0.3	907.388789247707	1174.689373836	soloLTR	heligmosomoides_bakeri	6.46094096129602
soloLTR_As:390	55.2175595588297	47.3561899156561	soloLTR	rnd-5_family-2061	no_RT	Other	As	140	LTR/Gypsy	25.4	338.258499397543	394.411139705926	soloLTR	heligmosomoides_bakeri	5.03734631109109
soloLTR_As:392	5.70287530807131	8.69185277144119	soloLTR	rnd-5_family-274	N0.HOG0000174_OG0000160_-	LC	As	260	LTR/Gypsy	11.5	33.4302029670815	21.9341358002742	soloLTR	heligmosomoides_bakeri	1.69844414516471
soloLTR_As:412	2.6593239664929	0.713738770176236	soloLTR	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	714	LTR/Gypsy	23.8	0.999634131899491	3.72454337043824	soloLTR	heligmosomoides_bakeri	-3.36516399651477
soloLTR_As:436	3.08749114626502	4.02144031494826	soloLTR	rnd-5_family-246	N0.HOG0000003_OG0000003_n0	C	As	284	LTR/Gypsy	2.8	14.1600011089728	10.8714476981163	soloLTR	heligmosomoides_bakeri	0.459113409458435
soloLTR_As:462	2.22776877863164	2.23842258427992	soloLTR	rnd-1_family-602	no_RT	Other	As	204	LTR/Pao	10.3	10.9726597268623	10.9204351893708	soloLTR	heligmosomoides_bakeri	0.091205302429616
soloLTR_As:488	16.7399520398626	4.81661237326067	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	411	LTR/Gypsy	6.1	11.7192515164493	40.7298103159673	soloLTR	heligmosomoides_bakeri	0.186172461902783
soloLTR_As:487	7.96873671419965	2.64729158235825	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	411	LTR/Gypsy	7.3	6.44109874053102	19.3886538058386	soloLTR	heligmosomoides_bakeri	-0.67732925557427
soloLTR_As:524	4.69596808385244	6.0796985969477	soloLTR	rnd-5_family-7789	N0.HOG0000016_OG0000008_n0	HC	As	414	LTR/Pao	6.1	14.6852623114679	11.3429180769383	soloLTR	heligmosomoides_bakeri	0.511661066686728
soloLTR_As:532	2.22411252323272	0.91573844036154	soloLTR	rnd-1_family-218	no_RT	Other	As	376	LTR	25.7	2.43547457542963	5.91519288093809	soloLTR	heligmosomoides_bakeri	-2.08043314126015
soloLTR_As:588	398.265243815792	391.447483388002	soloLTR	rnd-5_family-2347	N0.HOG0000016_OG0000008_n0	HC	As	310	LTR/Pao	15.4	1262.73381738065	1284.72659295417	soloLTR	heligmosomoides_bakeri	6.93769877379176
soloLTR_As:594	1.90495559239103	3.27502812805714	soloLTR	rnd-5_family-246	N0.HOG0000003_OG0000003_n0	C	As	284	LTR/Gypsy	13.1	11.5317891832998	6.70759011405294	soloLTR	heligmosomoides_bakeri	0.16290839881986
soloLTR_As:662	2.42800295604455	4.21886914081195	soloLTR	rnd-5_family-458	N0.HOG0000026_OG0000015_n0	C	As	434	LTR/Gypsy	9.9	9.72089663781556	5.59447685724552	soloLTR	heligmosomoides_bakeri	-0.0835466723041014
soloLTR_As:764	4.94928529445583	10.7211999064806	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	687	LTR/Pao	24.9	15.6058222801755	7.20419984636948	soloLTR	heligmosomoides_bakeri	0.599376406780092
soloLTR_As:854	58.7411183355773	37.3253022761379	soloLTR	rnd-5_family-4332	N0.HOG0000086_OG0000072_n0	C	As	413	LTR/Pao	10.8	90.37603456692	142.230310739897	soloLTR	heligmosomoides_bakeri	3.13323228825603
soloLTR_As:858	12.4035208639792	15.075310065522	soloLTR	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	476	LTR/Pao	22.8	31.6708194653823	26.0578169411329	soloLTR	heligmosomoides_bakeri	1.62044622785514
soloLTR_As:860	2.44467508664205	2.1402065696411	soloLTR	rnd-5_family-7789	N0.HOG0000016_OG0000008_n0	HC	As	412	LTR/Pao	9.5	5.19467613990559	5.93367739476225	soloLTR	heligmosomoides_bakeri	-0.987602256174435
soloLTR_As:874	4.61213660354727	4.92408677637403	soloLTR	rnd-4_family-350	N0.HOG0000027_OG0000016_n0	C	As	388	LTR/Pao	4.4	12.6909452999331	11.8869500091425	soloLTR	heligmosomoides_bakeri	0.301091565061762
soloLTR_As:898	0.958338358008292	0.91981025727902	soloLTR	rnd-5_family-5512	N0.HOG0000003_OG0000003_n0	C	As	146	LTR/Gypsy	11	6.30007025533575	6.56396135622118	soloLTR	heligmosomoides_bakeri	-0.709268146898363
soloLTR_As:948	1.92612191171074	1.4333941468251	soloLTR	rnd-5_family-8360	N0.HOG0000016_OG0000008_n0	HC	As	373	LTR/Pao	18.9	3.84287975020135	5.16386571504221	soloLTR	heligmosomoides_bakeri	-1.42244823094539
soloLTR_As:960	171.92841724777	320.760887327948	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	792	LTR/Pao	15.9	405.001120363571	217.081334908801	soloLTR	heligmosomoides_bakeri	5.29714602489896
