adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	div	sFam	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:34	1312.37608553465	1172.06158135912	soloLTR	rnd-5_family-861	N0.HOG0000003_OG0000003_n0	C	As	294	6.5	LTR/Gypsy	4463.86423651243	3986.60401822829	soloLTR	heligmosomoides_polygyrus	8.21635405459313
soloLTR_As:88	4.40336220871039	8.48479148253504	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	414	3.9	LTR/Gypsy	10.6361406007497	20.4946654167513	soloLTR	heligmosomoides_polygyrus	0.612585990129702
soloLTR_As:96	1.59609427912355	1.23971651300041	soloLTR	rnd-5_family-2005	N0.HOG0000113_OG0000099_n0	LC	As	278	1.5	LTR/Pao	5.74134632778257	4.45941191726768	soloLTR	heligmosomoides_polygyrus	-1.58773707437729
soloLTR_As:178	9.60622456009678	6.48838350085139	soloLTR	rnd-4_family-2220	N0.HOG0000003_OG0000003_n0	C	As	901	16.4	LTR/Gypsy	10.6617364706956	7.20131354145548	soloLTR	heligmosomoides_polygyrus	-0.896330459860797
soloLTR_As:338	76.6948516065598	78.9320722979385	soloLTR	rnd-4_family-2759	N0.HOG0000047_OG0000033_n0	C	As	420	18.7	LTR/Gypsy	182.606789539428	187.933505471282	soloLTR	heligmosomoides_polygyrus	3.80948794602651
soloLTR_As:347	321.502541799349	448.414837254136	soloLTR	rnd-5_family-9016	no_RT	Other	As	428	21.7	LTR/Pao	751.174163082592	1047.6982178835	soloLTR	heligmosomoides_polygyrus	6.28841696082243
soloLTR_As:381	175.436195887104	262.937503321706	soloLTR	rnd-5_family-7920	N0.HOG0000003_OG0000003_n0	C	As	145	23.4	LTR/Gypsy	1209.90479922141	1813.36209187383	soloLTR	heligmosomoides_polygyrus	7.07986077326713
soloLTR_As:383	0.665357320526367	0.710481907732533	soloLTR	rnd-5_family-857	N0.HOG0000003_OG0000003_n0	C	As	218	11.6	LTR/Gypsy	3.05209780057966	3.259091319874	soloLTR	heligmosomoides_polygyrus	-2.04012076535673
soloLTR_As:385	8.19157025330254	5.33806380867814	soloLTR	rnd-5_family-1334	N0.HOG0000016_OG0000008_n0	HC	As	380	6.4	LTR/Pao	21.5567638244804	14.0475363386267	soloLTR	heligmosomoides_polygyrus	0.0676546848305764
soloLTR_As:415	1.0971760367556	1.87832968399437	soloLTR	rnd-4_family-3213	N0.HOG0000047_OG0000033_n0	C	As	221	23.9	LTR/Gypsy	4.96459745138282	8.49922933934105	soloLTR	heligmosomoides_polygyrus	-0.657258510384886
